Queries,Number of overlapping results,Percent Overlap,Spearman Coeffiient
Query 1,3.0,30.0,-2.5
Query 2,0.0,0.0,0.0
Query 3,2.0,20.0,-28.0
Query 4,6.0,60.0,-0.9142857142857144
Query 5,4.0,40.0,-4.4
Query 6,3.0,30.0,-7.5
Query 7,0.0,0.0,0.0
Query 8,0.0,0.0,0.0
Query 9,1.0,10.0,0.0
Query 10,2.0,20.0,-25.0
Query 11,2.0,20.0,-12.0
Query 12,3.0,30.0,1.0
Query 13,3.0,30.0,-11.75
Query 14,1.0,10.0,1.0
Query 15,5.0,50.0,-0.3999999999999999
Query 16,3.0,30.0,-6.5
Query 17,3.0,30.0,-12.0
Query 18,1.0,10.0,0.0
Query 19,2.0,20.0,-25.0
Query 20,5.0,50.0,-1.35
Query 21,1.0,10.0,0.0
Query 22,3.0,30.0,-14.5
Query 23,6.0,60.0,0.5142857142857142
Query 24,0.0,0.0,0.0
Query 25,5.0,50.0,-4.35
Query 26,3.0,30.0,-3.5
Query 27,4.0,40.0,-5.5
Query 28,0.0,0.0,0.0
Query 29,0.0,0.0,0.0
Query 30,4.0,40.0,-7.1
Query 31,0.0,0.0,0.0
Query 32,1.0,10.0,0.0
Query 33,3.0,30.0,-0.25
Query 34,3.0,30.0,-0.5
Query 35,2.0,20.0,-9.0
Query 36,2.0,20.0,-49.0
Query 37,6.0,60.0,0.2857142857142857
Query 38,5.0,50.0,-0.3999999999999999
Query 39,4.0,40.0,-0.8
Query 40,5.0,50.0,-4.0
Query 41,1.0,10.0,1.0
Query 42,2.0,20.0,-24.0
Query 43,1.0,10.0,0.0
Query 44,2.0,20.0,-24.0
Query 45,4.0,40.0,-8.0
Query 46,2.0,20.0,-9.0
Query 47,4.0,40.0,-4.3
Query 48,0.0,0.0,0.0
Query 49,4.0,40.0,-1.6
Query 50,4.0,40.0,-5.6
Query 51,3.0,30.0,-7.5
Query 52,4.0,40.0,-1.2999999999999998
Query 53,2.0,20.0,-51.0
Query 54,2.0,20.0,-4.0
Query 55,4.0,40.0,-8.4
Query 56,1.0,10.0,1.0
Query 57,3.0,30.0,-3.75
Query 58,1.0,10.0,1.0
Query 59,3.0,30.0,-6.25
Query 60,3.0,30.0,-4.0
Query 61,4.0,40.0,-0.7
Query 62,3.0,30.0,-7.75
Query 63,1.0,10.0,0.0
Query 64,0.0,0.0,0.0
Query 65,0.0,0.0,0.0
Query 66,1.0,10.0,0.0
Query 67,1.0,10.0,0.0
Query 68,4.0,40.0,-0.8999999999999999
Query 69,2.0,20.0,-25.0
Query 70,3.0,30.0,-3.25
Query 71,3.0,30.0,-0.25
Query 72,1.0,10.0,0.0
Query 73,3.0,30.0,-19.5
Query 74,3.0,30.0,-2.25
Query 75,2.0,20.0,-81.0
Query 76,1.0,10.0,0.0
Query 77,1.0,10.0,0.0
Query 78,3.0,30.0,0.0
Query 79,1.0,10.0,0.0
Query 80,3.0,30.0,-5.75
Query 81,1.0,10.0,1.0
Query 82,4.0,40.0,-5.9
Query 83,5.0,50.0,-0.44999999999999996
Query 84,2.0,20.0,-1.0
Query 85,1.0,10.0,0.0
Query 86,5.0,50.0,-0.10000000000000009
Query 87,1.0,10.0,1.0
Query 88,5.0,50.0,-3.8499999999999996
Query 89,2.0,20.0,-4.0
Query 90,5.0,50.0,0.30000000000000004
Query 91,2.0,20.0,-9.0
Query 92,3.0,30.0,-1.75
Query 93,1.0,10.0,0.0
Query 94,5.0,50.0,-0.75
Query 95,0.0,0.0,0.0
Query 96,1.0,10.0,0.0
Query 97,1.0,10.0,0.0
Query 98,3.0,30.0,-2.5
Query 99,3.0,30.0,0.5
Query 100,5.0,50.0,-0.8999999999999999
Averages,2.51,25.1,-5.668642857142859
